delito,x,y,porcentaje
1,-103.3705786,20.65853244,20
4,-103.2938083,20.62934719,80
1,-103.3123078,20.65230231,20
4,-103.3854715,20.62608047,80
1,-103.3705786,20.65853244,20
4,-103.3278999,20.70619046,80
4,-103.2754056,20.61429489,80
3,-103.3943789,20.73095934,60
3,-103.5222594,20.45185471,60
1,-103.355144,20.69614309,20
1,-103.2504669,20.65487266,20
3,-103.2407019,20.62613033,60
4,-103.3472962,20.65526225,80
2,-103.4181926,20.65034936,40
1,-103.4217259,20.67806911,20
4,-103.3473101,20.67518176,80
4,-103.3611433,20.71341063,80
1,-103.2755871,20.6710581,20
1,-103.3042039,20.66297214,20
4,-103.2671406,20.6053509,80
1,-103.2951838,20.70202448,20
4,-103.2449285,20.62904577,80
4,-103.3889041,20.62705208,80
4,-103.339484,20.69327549,80
4,-103.354794,20.6748586,80
3,-103.3432305,20.72379883,60
4,-103.3955172,20.6089479,80
4,-103.3482854,20.67454994,80
3,-103.3873038,20.67951198,60
4,-103.4147315,20.72854652,80
4,-103.2162455,20.66637311,80
3,-103.2420917,20.60870208,60
4,-103.361411,20.71797493,80
3,-103.3898212,20.6477503,60
5,-103.2922446,20.69295772,100
4,-103.36659,20.68491752,80
3,-103.3235193,20.60833681,60
4,-103.3526808,20.64669952,80
4,-103.3491902,20.71094816,80
1,-103.3114178,20.58861718,20
3,-103.370799,20.68430968,60
4,-103.2775663,20.65997986,80
4,-103.4189723,20.53484696,80
3,-103.3910601,20.67684352,60
2,-103.4039557,20.64435561,40
4,-103.2435467,20.66581332,80
3,-103.3301686,20.72312624,60
4,-103.2622507,20.63553494,80
4,-103.3440595,20.60570598,80
4,-103.3452421,20.66444301,80
4,-103.3545061,20.7154701,80
3,-103.4453782,20.58651291,60
4,-103.4270162,20.68818069,80
3,-103.400703,20.60572587,60
4,-103.3799366,20.67930225,80
5,-103.3207951,20.63451912,100
3,-103.3257825,20.69586281,60
4,-103.3497584,20.66891055,80
5,-103.378458,20.66660131,100
4,-103.387924,20.67221428,80
4,-103.2930589,20.6697109,80
3,-103.301974,20.69109817,60
4,-103.3667415,20.76342623,80
1,-103.2969403,20.68917035,20
5,-103.2857108,20.68804142,100
6,-103.2519298,20.62932454,100
4,-103.318167,20.68307607,80
4,-103.3224477,20.62908452,80
4,-103.2456446,20.61009311,80
3,-103.3198621,20.61812932,60
4,-103.3108196,20.65116142,80
4,-103.2461466,20.62490304,80
4,-103.3799668,20.67331041,80
4,-103.3215924,20.59066736,80
1,-103.3453166,20.72165675,20
4,-103.3508132,20.67137785,80
4,-103.3932771,20.6846929,80
3,-103.3768986,20.64398269,60
1,-103.2742852,20.69052296,20
1,-103.4066712,20.66556395,20
3,-103.2828597,20.67475054,60
4,-103.3761599,20.68932513,80
4,-103.2832249,20.6819367,80
3,-103.3151996,20.70605536,60
1,-103.29397,20.62940904,20
4,-103.2775945,20.696257,80
4,-103.4408773,20.64120615,80
3,-103.3311008,20.64374927,60
4,-103.4170812,20.63441325,80
4,-103.349639,20.70246403,80
3,-103.3659277,20.6869232,60
1,-103.3469293,20.7067313,20
2,-103.3655202,20.74002258,40
4,-103.3682474,20.72690143,80
1,-103.3921137,20.68765202,20
3,-103.3263355,20.65122256,60
4,-103.3373376,20.69756972,80
2,-103.2680679,20.69035976,40
3,-103.3262761,20.691222,60
1,-103.3446316,20.70384627,20
3,-103.3246739,20.68977965,60
3,-103.2956379,20.69342039,60
4,-103.2059433,20.65392501,80
3,-103.4108094,20.6331,60
